Index,Number_Classes,Number_Students,Average_Students,Question_Per_Student,PeerEval_Per_Student,RollC_Per_Student,Feedback_Per_Student,Total_Interaction
86,4,303,75.75,0.234323432,0,1.283828383,0.00330033,1184
87,14,540,38.57142857,0.166666667,0,3.287037037,0.033333333,7268
88,3,116,38.66666667,0.060344828,0,0.913793103,0,310
89,13,795,61.15384615,0,0,7.236477987,0.666666667,6283
90,14,738,52.71428571,0.029810298,0,0.424119241,0,7860
91,13,648,49.84615385,0.032407407,0,0.433641975,0,7133
92,17,662,38.94117647,0.031722054,0,0.413897281,0,7267
93,2,63,31.5,0.444444444,0,2.777777778,0,1109
94,36,1057,29.36111111,0.723746452,3.416272469,1.078524125,0,19021
95,8,327,40.875,0,0,7.058103976,0.012232416,2312
96,13,697,53.61538462,0.030129125,0,3.156384505,0.020086083,7972
97,2,164,82,0.195121951,0,11.32317073,0,3850
98,26,718,27.61538462,0.050139276,0,1.318941504,0.001392758,1673
99,49,2019,41.20408163,0.013372957,0,0.456166419,0.000495295,3263
100,19,1002,52.73684211,0.006986028,0,0.291417166,0,2252
101,8,467,58.375,0.079229122,0,0.516059957,0.010706638,1144
102,7,389,55.57142857,0.005141388,0,0.593830334,0.007712082,280
103,38,1163,30.60526316,0.007738607,0,0.138435082,0,486
104,1,56,56,0.089285714,0,2.196428571,0,320
105,10,398,39.8,0.359296482,58.26633166,13.83165829,0.055276382,32923
106,32,1633,51.03125,0.14145744,13.1726883,1.33190447,0.006736069,56333
107,35,1720,49.14285714,0.184302326,10.0494186,0.610465116,0.01627907,39863
108,48,2061,42.9375,0.959243086,6.153808831,3.219796215,0.023774867,61710
109,16,789,49.3125,0.386565272,14.32446134,2.651457541,0.005069708,28892
110,59,2046,34.6779661,1.407624633,4.362170088,13.41495601,0.811827957,316568
111,31,1397,45.06451613,0.220472441,6.125984252,4.567644953,0.005726557,78652
112,7,354,50.57142857,0.217514124,13.60451977,1.183615819,0.031073446,9222
113,22,877,39.86363636,0.637400228,2.862029647,7.979475485,0.052451539,71474
114,16,855,53.4375,0.095906433,2.870175439,0,0.003508772,4739
115,15,579,38.6,1.274611399,2.509499136,16.9119171,1.506044905,88317
116,35,1670,47.71428571,0.186227545,0.543113772,0.052694611,0.001796407,9779
117,18,906,50.33333333,0.158940397,0.984547461,1.143487859,0.009933775,6112
118,32,1651,51.59375,0.101756511,0.407026045,0.21683828,0.001211387,6710
119,6,289,48.16666667,0.141868512,1.522491349,0,0.37716263,1500
120,3,94,31.33333333,0.627659574,1.670212766,1.244680851,0.021276596,717
121,22,602,27.36363636,0.063122924,0.196013289,0.450166113,0,1430
122,4,146,36.5,0.082191781,0.356164384,1.047945205,0,1181
123,50,1403,28.06,0.170349252,0,13.32715609,0.007127584,34306
124,32,1819,56.84375,0.043980209,0,5.108301264,0.003848268,21552
125,48,1863,38.8125,0.034353194,0,4.919484702,0.001073537,11437
126,21,1056,50.28571429,0.982954545,0,5.954545455,0.002840909,84701
127,43,2127,49.46511628,1.338975082,0,2.651151857,0.015984955,138147
128,19,806,42.42105263,0.132754342,0,6.148883375,0.064516129,8049
129,29,1007,34.72413793,0.608738828,0,4.134061569,4.206554121,28031
130,23,584,25.39130435,0.337328767,0,7.047945205,0.330479452,7869
131,40,1245,31.125,0.02248996,0,3.089959839,0.012048193,5650
132,34,728,21.41176471,0.399725275,0,4.240384615,0.013736264,14158
133,44,1023,23.25,0.072336266,0,2.453567937,0.036168133,4405
134,25,1008,40.32,0.174603175,0,2.474206349,0.01984127,6488
135,14,1179,84.21428571,0.019508058,0,2.053435115,0.005937235,3962
136,38,890,23.42105263,0.230337079,0,2.5,0.04494382,14723
137,31,2014,64.96774194,0.078947368,0,0.964250248,0.001489573,36902
138,45,1540,34.22222222,0.268831169,0,1.208441558,0,8627
139,20,1137,56.85,0.147757256,0,1.327176781,0.009674582,7169
140,32,1199,37.46875,0.000834028,0,1.203502919,0.010842369,1457
141,28,766,27.35714286,0,0,1.778067885,0.003916449,1365
142,27,1515,56.11111111,0.005280528,0,0.838943894,0.011221122,1494
143,14,673,48.07142857,0.367013373,0,1.875185736,0.010401189,6214
144,30,1102,36.73333333,0.010889292,0,0.994555354,0.002722323,1345
145,38,1346,35.42105263,0.063150074,0,0.798662704,0.001485884,4100
146,24,995,41.45833333,0.090452261,0,1.063316583,0.00201005,4576
147,13,523,40.23076923,0,0,1.799235182,0.011472275,947
148,37,1165,31.48648649,0,0,0.799141631,0.036909871,974
149,27,885,32.77777778,0.011299435,0,0.998870056,0.015819209,1005
150,11,304,27.63636364,0,0,2.467105263,0.108552632,783
151,37,1138,30.75675676,0.002636204,0,0.576449912,0.002636204,659
152,4,242,60.5,1.214876033,0,2.661157025,0.066115702,9296
153,4,185,46.25,0.054054054,0,3.178378378,0.064864865,1511
154,36,1896,52.66666667,0.029535865,0,0.287974684,0.004746835,2622
155,19,501,26.36842105,0.213572854,0,1.087824351,0.077844311,5001
156,11,408,37.09090909,0,0,1.176470588,0.019607843,488
157,16,461,28.8125,0,0,0.958785249,0.017353579,450
158,27,1761,65.22222222,0.088586031,0,0.215786485,0.001135718,39540
159,12,408,34,0,0,0.821078431,0.029411765,347
160,5,169,33.8,0.130177515,0,1.763313609,0.396449704,765
161,8,251,31.375,0.203187251,0,1.139442231,0.023904382,880
162,21,1395,66.42857143,0.107526882,0,0.204301075,0.004301075,9952
163,13,490,37.69230769,0,0,0.506122449,0.014285714,255
164,55,1884,34.25454545,0.001061571,0,0.130573248,0,271
165,26,653,25.11538462,0.030627871,0,0.362940276,0.006125574,909
166,11,365,33.18181818,0.010958904,0,0.643835616,0.002739726,259
167,6,175,29.16666667,0.011428571,0,1.228571429,0.034285714,221
168,4,193,48.25,0.010362694,0,1.077720207,0.010362694,242
169,7,267,38.14285714,0,0,0.752808989,0.082397004,223
170,3,126,42,0.007936508,0,1.5,0.015873016,191
171,1,39,39,0.025641026,0,4.615384615,0.256410256,191
172,11,601,54.63636364,0.053244592,0,0.277870216,0.014975042,1039
173,4,122,30.5,0.008196721,0,1.352459016,0.008196721,168
174,9,470,52.22222222,0.391489362,0,0.329787234,5.036170213,8224
175,7,242,34.57142857,0.012396694,0,0.632231405,0.012396694,233
176,8,248,31,0.004032258,0,0.616935484,0.004032258,187
177,4,187,46.75,0,0,0.786096257,0.064171123,159
178,15,525,35,0.007619048,0,0.276190476,0.001904762,496
179,25,780,31.2,0,0,0.185897436,0.01025641,153
180,40,1371,34.275,0.001458789,0,0.09190372,0,160
181,1,56,56,0.178571429,0,2.214285714,0.142857143,335
182,1,61,61,0,0,1.868852459,0.032786885,116
183,24,1275,53.125,0.026666667,0,0.084705882,0.000784314,6652
184,5,142,28.4,0,0,0.76056338,0.035211268,113
185,2,78,39,0.076923077,0,1.320512821,0.064102564,825
186,4,217,54.25,0.00921659,0,0.460829493,0,106
187,20,609,30.45,0,0,0.141215107,0.037766831,109
188,6,184,30.66666667,0,0,0.364130435,0.282608696,119
189,8,459,57.375,0.322440087,0,0,0.653594771,32041
190,34,1097,32.26470588,0.821330902,62.24247949,4.115770283,0.801276208,107575
191,23,901,39.17391304,0.186459489,0,2.704772475,0.115427303,5893
192,4,215,53.75,0,0,1.08372093,0,233
193,41,794,19.36585366,1.071788413,11.9395466,3.278337531,0.039042821,30895
194,4,215,53.75,0.069767442,0,2.204651163,0,1008
195,2,92,46,0.489130435,244.6413043,11.66304348,0.02173913,23582
196,8,523,65.375,0.374760994,9.944550669,1.06500956,0.001912046,11327
197,6,189,31.5,0.026455026,2.164021164,0.402116402,0,597
198,1,35,35,0.485714286,8.571428571,8.057142857,0,662
199,16,632,39.5,0.006329114,0,2.47943038,0,1627
200,1,163,163,0,0,8.141104294,0.006134969,1328
201,11,365,33.18181818,0,0,1.457534247,0,532
202,2,66,33,0.257575758,0,1.833333333,0.166666667,401
203,2,83,41.5,0.060240964,0,1.253012048,0.036144578,238
204,29,1711,59,0.153126826,19.27878434,1.48100526,0.00818235,49596
205,18,972,54,0.155349794,28.37139918,4.330246914,0.046296296,36676
206,35,1283,36.65714286,0.153546376,20.23694466,2.276695246,0.003117693,34614
207,16,543,33.9375,0.462246777,23.99447514,1.762430939,0.005524862,20190
208,8,319,39.875,1.097178683,28.0815047,1.329153605,0.006269592,49102
209,33,2061,62.45454545,0.08588064,3.82872392,0.266860747,0.002426007,8446
210,42,1037,24.69047619,0.588235294,6.979749277,5.463837994,0.154291225,31412
211,86,1756,20.41860465,0.022209567,3.835990888,0.624715262,0,8225
212,33,1061,32.15151515,0.32139491,6.229029218,4.64938737,0.003770028,17871
213,12,792,66,0.300505051,3.140151515,7.161616162,0.032828283,36669
214,34,1279,37.61764706,0.34870993,1.881157154,11.80688038,0.645817045,28959
215,88,3515,39.94318182,1.53371266,0.390327169,7.044381223,0.19374111,644091
216,26,1062,40.84615385,0.012241055,1.262711864,3.241996234,0.001883239,4882
217,31,811,26.16129032,0.038224414,1.086313194,0.911220715,0,3494
218,2,125,62.5,1.368,4.32,14.176,0.016,10116
219,15,800,53.33333333,0.17125,0.525,0.3925,0.0075,5407
220,32,1429,44.65625,0.006298111,0.128761372,0,0,314
221,5,236,47.2,0.542372881,0.127118644,7.800847458,0.088983051,4565
222,56,2606,46.53571429,0.05295472,0,2.981197237,0.004221028,11243
223,22,1029,46.77272727,0.341107872,0,4.562682216,0.054421769,25172
224,37,787,21.27027027,0.210927573,0,5.499364676,0.033036849,7296
225,10,764,76.4,0.342931937,0,5.531413613,0.117801047,67301
226,5,282,56.4,0,0,10.93971631,0.014184397,3089
227,7,460,65.71428571,0.002173913,0,3.334782609,0,1534
228,18,662,36.77777778,0,0,1.182779456,0.018126888,795
229,34,1536,45.17647059,0.034505208,0,0.4765625,0.04296875,28017
230,40,1837,45.925,0.088187262,0,0.202504083,0.008165487,25071
231,35,1815,51.85714286,0.004407713,0,0.185123967,0.002203857,468
232,1,33,33,0,0,9.696969697,0.03030303,321
233,42,1941,46.21428571,0.001030397,0,0.13137558,0.002575992,363
234,56,2115,37.76785714,0,0,0.107801418,0.001891253,232
235,8,361,45.125,0.002770083,0,0.418282548,0,195
236,9,188,20.88888889,0.515957447,0,1.218085106,0.005319149,1271
237,13,550,42.30769231,0.04,11.18909091,2.585454545,0.009090909,7624
238,19,614,32.31578947,0.35504886,7.469055375,0.991856678,0.024429967,6856
239,1,18,18,1.833333333,63.11111111,4.722222222,0,1357
240,26,575,22.11538462,0.123478261,13.61391304,1.394782609,0.00173913,10369
241,33,397,12.03030303,0,0,7.307304786,0.002518892,2902
242,17,529,31.11764706,0.02268431,0,2.383742911,0,1670
243,15,276,18.4,0.043478261,0,2.18115942,0.007246377,789
244,31,1139,36.74193548,0,0,0.146619842,0,167
245,27,795,29.44444444,0.00754717,0,0.201257862,0,316
246,47,2043,43.46808511,0.202643172,7.649534998,0.760156632,0.027410671,92716
247,7,229,32.71428571,1.109170306,0,9.349344978,0.131004367,10435
248,13,291,22.38461538,0.144329897,0,3.859106529,0.068728522,1649
249,7,190,27.14285714,0.057894737,0,2.836842105,0.826315789,4470
250,6,154,25.66666667,0.045454545,0,1.974025974,0.019480519,686
251,7,130,18.57142857,0.930769231,0,2.230769231,0.138461538,1647
252,18,396,22,0.042929293,0,0.671717172,0.055555556,2453
253,2,67,33.5,0.119402985,0,3.925373134,0.059701493,415
254,28,689,24.60714286,0,0,0.312046444,0.018867925,228
255,2,97,48.5,0,0,2.206185567,0,214
256,3,72,24,0.041666667,0,2.347222222,0.083333333,202
257,2,45,22.5,0.8,0,3.577777778,0,422
258,5,138,27.6,0.02173913,0,0.927536232,0.028985507,191
259,9,207,23,0.057971014,0,0.555555556,0.125603865,317
260,2,82,41,0.024390244,0,1.329268293,0.06097561,149
261,5,178,35.6,0.011235955,0,0.612359551,0.005617978,125
262,1,47,47,0.468085106,36.46808511,0,0,1714
263,2,120,60,0,0,0.9,0,108
264,22,1010,45.90909091,0.135643564,9.042574257,0,0,13537
265,30,1045,34.83333333,0.135885167,2.583732057,0.066985646,0,23456
266,5,170,34,0.170588235,4.088235294,0.682352941,0,811
267,5,175,35,0.062857143,1.891428571,0,0,331
268,23,819,35.60869565,0.356532357,0.241758242,1.774114774,0.004884005,5976
269,23,584,25.39130435,0.219178082,0,7.491438356,0.075342466,8362
270,9,470,52.22222222,0.125531915,0,4.446808511,0.004255319,6441
271,27,1011,37.44444444,0.120672601,0,0.779426311,0,2631
272,23,971,42.2173913,0.002059732,0,0.70545829,0,685
273,10,353,35.3,0.11898017,0,0.277620397,0.005665722,985
274,4,117,29.25,0.051282051,0,1.461538462,0,296
275,12,387,32.25,0.325581395,9.739018088,0.635658915,0.007751938,6485
276,29,1220,42.06896552,0.367213115,0,11.86803279,0.003278689,28403
277,10,282,28.2,0,0,2.546099291,0,718
278,1,43,43,0,0,10.13953488,0,436
279,4,154,38.5,0,0,1.642857143,0,253
280,36,1245,34.58333333,0.023293173,0.22811245,4.048192771,0.430522088,6197
281,5,282,56.4,0,0,1.719858156,0,485
282,11,461,41.90909091,0.123644252,1.718004338,11.2472885,0.010845987,6171
283,25,1029,41.16,0,0,0.782312925,0,805
284,5,192,38.4,0,0,1.260416667,0,242
285,7,253,36.14285714,0.256916996,2.292490119,0,0,1174
286,46,1150,25,0.092173913,0.422608696,2.747826087,0.011304348,6250
287,48,2291,47.72916667,0.036228721,0,5.287647316,0.002618944,13367
288,48,1522,31.70833333,0.037450723,0,0.11892247,0.00131406,3863
289,25,910,36.4,0.234065934,3.840659341,9.834065934,0.012087912,29189
290,7,213,30.42857143,0.042253521,0,9.262910798,0.023474178,2219
291,9,340,37.77777778,0.014705882,0,0.497058824,0.002941176,1635
292,1,70,70,0.185714286,111.4714286,4.114285714,0.057142857,10000
293,9,375,41.66666667,0.637333333,0,7.354666667,0.106666667,36493
294,5,63,12.6,2.126984127,0,8.285714286,0.095238095,13507
295,27,1395,51.66666667,0.035842294,0,0.225089606,0,5356
296,1,64,64,0,0,3.46875,0,222
297,2,72,36,0.763888889,0,2.805555556,3.069444444,1304
298,53,668,12.60377358,0.374251497,66.74700599,1.745508982,0.339820359,68802
299,27,1106,40.96296296,0.247739602,34.45117541,9.512658228,0.011754069,57062
300,31,1130,36.4516129,0.503539823,14.75309735,2.591150442,0.037168142,89691
301,32,1535,47.96875,0.280781759,9.301628664,0.712703583,0.007166124,61741
302,24,1123,46.79166667,0.837043633,3.297417631,3.347284061,0.14158504,29486
303,19,632,33.26315789,0.161392405,1.35443038,11.07911392,2.787974684,34841
304,32,1326,41.4375,0.585972851,0,12.12368024,0.006033183,32151
305,38,1288,33.89473684,0.965838509,0,12.42236025,0.019409938,82427
306,34,1288,37.88235294,0.843944099,0,8.447204969,0.003881988,184701
307,30,1988,66.26666667,0.003521127,0,5.394869215,0.002012072,11034
308,25,1473,58.92,0.002715547,0,5.599456891,0.00407332,8368
309,19,1096,57.68421053,0.003649635,0,5.744525547,0.001824818,6425
310,31,1359,43.83870968,0.867549669,0,3.300956586,0.014716703,32142
311,30,1042,34.73333333,0.038387716,0,4.199616123,0.000959693,6048
312,35,1290,36.85714286,0.047286822,0,1.708527132,0,4199
313,3,270,90,0.162962963,0,3.211111111,0.011111111,2847
314,32,1483,46.34375,0.012137559,0,0.423465947,0.010788941,999
315,1,73,73,0.01369863,0,2.315068493,0,196
316,20,716,35.8,0.090782123,0,4.603351955,0.039106145,4822
317,16,1868,116.75,0.02248394,0,6.491970021,0.012847966,14138
318,53,2766,52.18867925,0.002892263,0,0.186189443,0.000361533,864
319,12,186,15.5,0.064516129,0,3.032258065,0.021505376,576
320,34,614,18.05882353,0.057003257,0,0.356677524,0,7808
321,22,760,34.54545455,0.005263158,0,0.169736842,0,129
322,28,1017,36.32142857,0,0,12.15142576,0.000983284,12359
323,29,586,20.20689655,0,0,5.769624573,0.029010239,3398
324,16,811,50.6875,0.029593095,0,2.295930949,0.001233046,2793
325,7,348,49.71428571,0,0,2.514367816,0.037356322,888
326,2,76,38,0.144736842,0,8.763157895,0,975
327,5,74,14.8,0,0,5.608108108,0.040540541,418
328,9,306,34,0.019607843,0,1.173202614,0.003267974,404
329,45,715,15.88888889,0,0,0.254545455,0.001398601,183
330,23,736,32,0.002717391,0,0.241847826,0,178
331,8,268,33.5,0.276119403,0,0.425373134,0.02238806,7099
332,77,1713,22.24675325,0.000583771,0,0.110916521,0,190
333,48,1996,41.58333333,0.000501002,0,0.05761523,0.000501002,116
334,44,2311,52.52272727,0.460839463,1.393336218,3.202509736,0.006490697,43794
335,57,2182,38.28070175,0.000458295,0,3.408340972,0.004582951,7448
336,42,1349,32.11904762,0.079318013,0,0.179392142,0.00222387,2060
337,54,1755,32.5,0.024501425,0,7.974358974,0.005698006,14855
338,59,2166,36.71186441,0.006925208,0,2.271468144,0.002308403,5125
339,35,1168,33.37142857,0.163527397,0,2.470890411,0.009417808,5942
340,54,2005,37.12962963,0.000498753,0,0.616458853,0.000498753,1237
341,3,186,62,0.080645161,0,2.35483871,0.016129032,821
342,2,110,55,0.036363636,0,3.009090909,0.027272727,387
343,1,57,57,0,0,3.614035088,0,206
344,1,55,55,0,0,2,0,110
345,51,2384,46.74509804,0.305788591,28.29823826,0,0.020134228,99591
346,22,1321,60.04545455,0.214988645,5.218773656,2.42013626,0.005299016,22240
347,21,1198,57.04761905,0.09933222,3.595993322,0.195325543,0.015859766,9581
348,16,916,57.25,1.191048035,4.401746725,0,0.022925764,52884
349,21,874,41.61904762,0.060640732,1.210526316,0,0,3332
350,10,525,52.5,0.241904762,1.617142857,0,0,3913
351,33,1675,50.75757576,0.20358209,0.420895522,0.224477612,0.007164179,13592
352,29,1615,55.68965517,0.035913313,0.355417957,2.86006192,0.024148607,7248
353,33,1394,42.24242424,0.030846485,0.081779053,0,0.00071736,5042
354,20,948,47.4,0.117088608,0,11.95780591,0.008438819,16500
355,30,1585,52.83333333,0.392429022,0,4.27318612,1.649842271,38078
356,15,601,40.06666667,1.011647255,0,7.247920133,0.014975042,20914
357,14,853,60.92857143,0.090269637,0,4.409144197,0.043376319,6826
358,7,347,49.57142857,0.146974063,0,5.734870317,0.031700288,3413
359,33,1774,53.75757576,0.268883878,0,1.063697858,0.049605411,28018
360,36,1742,48.38888889,0.056831228,0,0.999425947,0.000574053,5528
361,34,1406,41.35294118,0.077524893,0,0.978662873,0.100995733,5705
362,3,128,42.66666667,0.203125,0,10.0546875,0.015625,6292
363,1,110,110,0,0,9.036363636,0.009090909,995
364,27,820,30.37037037,0.779268293,0,1.098780488,0.009756098,12203
365,22,1066,48.45454545,0.560037523,0,0.595684803,0.015947467,18816
366,27,1587,58.77777778,0.106490233,0,0.387523629,0.076874606,5280
367,4,182,45.5,0.005494505,0,2.494505495,0.016483516,502
368,10,458,45.8,0.209606987,0,0.914847162,0.006550218,2165
369,34,1485,43.67647059,0.78047138,0,0.11043771,0.002693603,30522
370,6,147,24.5,0.204081633,0,0.707482993,0,335
371,14,693,49.5,0.122655123,0,0.148629149,0.005772006,5788
372,6,172,28.66666667,0.040697674,229.377907,1.563953488,0.052325581,39731
373,18,667,37.05555556,0.115442279,6.089955022,8.586206897,0.610194903,11743
374,16,514,32.125,0.217898833,0,6.605058366,0.089494163,7187
375,45,1208,26.84444444,0.001655629,0,0.730960265,0.009933775,919
376,18,532,29.55555556,0.020676692,0,1.456766917,0.327067669,1384
377,18,578,32.11111111,0.024221453,0,1.200692042,0.001730104,933
378,3,117,39,0,0,5.598290598,0.042735043,660
379,17,623,36.64705882,0,0,0.958266453,0.009630819,603
380,18,577,32.05555556,0.057192374,0,0.996533795,0.008665511,1561
381,23,752,32.69565217,0.010638298,0,0.760638298,0.002659574,712
382,4,146,36.5,0.130136986,0,3.602739726,0.020547945,1079
383,11,526,47.81818182,0,0,0.988593156,0.013307985,527
384,17,610,35.88235294,0,0,0.786885246,0.006557377,484
385,26,874,33.61538462,0.004576659,0,0.527459954,0.009153318,480
386,26,603,23.19230769,0,0,0.706467662,0.011608624,433
387,13,397,30.53846154,0,0,1.065491184,0.007556675,426
388,4,189,47.25,0.021164021,0,2.19047619,0.005291005,487
389,12,292,24.33333333,0,0,1.29109589,0.010273973,380
390,2,93,46.5,0,0,3.956989247,0,368
391,22,496,22.54545455,0,0,0.737903226,0.010080645,371
392,6,305,50.83333333,0,0,1.026229508,0.006557377,315
393,10,404,40.4,0,0,0.727722772,0.01980198,302
394,15,553,36.86666667,0,0,0.528028933,0.007233273,296
395,5,183,36.6,0,0,1.469945355,0.005464481,270
396,11,411,37.36363636,0,0,0.615571776,0.450121655,438
397,4,138,34.5,0.007246377,0,1.572463768,0.028985507,242
398,4,154,38.5,0.058441558,0,1.376623377,0.051948052,639
399,13,448,34.46153846,0,0,0.470982143,0,211
400,5,191,38.2,0.010471204,0,1.09947644,0.010471204,237
401,11,327,29.72727273,0,0,0.633027523,0.012232416,211
402,14,419,29.92857143,0.011933174,0,0.405727924,0.038186158,300
403,4,161,40.25,0,0,1.055900621,0.01242236,172
404,6,224,37.33333333,0,0,0.75,0.008928571,170
405,12,412,34.33333333,0.024271845,0,0.393203883,0.024271845,577
406,6,194,32.33333333,0.041237113,0,0.819587629,0,1084
407,9,328,36.44444444,0,0,0.460365854,0.006097561,153
408,2,99,49.5,0.04040404,0,1.393939394,0.03030303,178
409,6,197,32.83333333,0.005076142,0,0.675126904,0.010152284,135
410,12,285,23.75,0,0,0.456140351,0.014035088,134
411,4,195,48.75,0.015384615,0,0.605128205,0.005128205,223
412,5,175,35,0.074285714,0,0.622857143,0.085714286,328
413,38,1158,30.47368421,0,0,0.094127807,0.018134715,130
414,1,39,39,0.282051282,0,2.461538462,0.256410256,561
415,2,133,66.5,0.022556391,0,0.819548872,0,109
416,7,197,28.14285714,1.106598985,0,1.025380711,0.005076142,9686
417,29,818,28.20689655,0.036674817,0.487775061,0,0.002444988,569
418,29,1582,54.55172414,0.457016435,0,4.66182048,0.009481669,36348
419,16,730,45.625,0.076712329,0,1.717808219,0,2468
420,7,434,62,0.039170507,0,2.33640553,0.013824885,1449
421,22,1352,61.45454545,0,0,0.599852071,0,811
422,14,736,52.57142857,0.029891304,0,0.421195652,0,7728
